Rafael Nadal,0.2101789822211315
Grigor Dimitrov,0.1471341880376378
Novak Djokovic,0.13743186606674643
Kei Nishikori,0.13475939647698854
Marin Cilic,0.1336917097364033
Milos Raonic,0.11387327538237632
Roberto Bautista Agut,0.11116442617325308
Jo-Wilfried Tsonga,0.1087842176887964
Sam Querrey,0.10665924906803198
Andy Murray,0.10642636917457872
Yuki Bhambri,0.10619179746860931
Tomas Berdych,0.09581421127526134
Stan Wawrinka,0.0943136393461846
Dominic Thiem,0.08850979589410397
Kyle Edmund,0.08761224999702172
David Goffin,0.08617982709601774
Diego Schwartzman,0.08206135315754086
Robin Haase,0.07888064173996426
Lucas Pouille,0.07230582104872589
Philipp Kohlschreiber,0.06537228382612413
David Ferrer,0.06476027282861306
Hyeon Chung,0.062303516061299205
Fernando Verdasco,0.0552689274531077
Yen-Hsun Lu,0.052172402285907284
Daniil Medvedev,0.05168592640613461
Ramkumar Ramanathan,0.0485369726317528
Jeremy Chardy,0.04668786667227405
Gilles Muller,0.045059450822296725
Alexandr Dolgopolov,0.04500051382640314
Albert Ramos-Vinolas,0.04430661499813608
Benoit Paire,0.04221317496256399
Borna Coric,0.04147276050228402
Martin Klizan,0.03865425958021538
Jan-Lennard Struff,0.037730792669244895
Dudi Sela,0.03690196672411418
Jared Donaldson,0.035206863015326904
Karen Khachanov,0.032109872206552724
Steve Johnson,0.028697564517526218
Damir Dzumhur,0.023829148234611693
Ivo Karlovic,0.02218592282718478
Ryan Harrison,0.02078569353035288
Nikola Mektic,0.01753845362299852
Bjorn Fratangelo,0.01719598157629566
Aljaz Bedene,0.017051157065918345
Yoshihito Nishioka,0.014017277266480856
Dusan Lajovic,0.013448228775944595
Mischa Zverev,0.013076138001448434
Mikhail Kukushkin,0.012887335844757923
Jiri Vesely,0.012743579746568543
Frances Tiafoe,0.005222633950628653
Jurgen Melzer,0.0023568242593596032
Ernesto Escobedo,0.0016877237357956283
Radek Stepanek,-0.004090819003393513
Jordan Thompson,-0.004352594500357685
Mikhail Youzhny,-0.010340529808475553
Nicolas Mahut,-0.011016102173988658
Horacio Zeballos,-0.012968756050392265
Nicolas Almagro,-0.015236631717890551
Gilles Simon,-0.018258965234368887
Thiago Monteiro,-0.018351731062263614
John-Patrick Smith,-0.023118864450923017
Casper Ruud,-0.023619975368717804
Rajeev Ram,-0.024819651972158685
Go Soeda,-0.027908878357462488
Nicolas Kicker,-0.028837076721943484
Steve Darcis,-0.03359735518168695
Viktor Troicki,-0.03687003546899441
Stefan Kozlov,-0.038862170203118954
Alex de Minaur,-0.0424932885514723
Elias Ymer,-0.04286857344228384
Tim Smyczek,-0.04450441223750145
Radu Albot,-0.0445292752887171
Gerald Melzer,-0.04597992182868975
Rogerio Dutra Silva,-0.04620765646630872
Bernard Tomic,-0.047283623403983115
Prajnesh Gunneswaran,-0.048878661302481134
Jozef Kovalik,-0.04914287349816972
Alessandro Giannessi,-0.04930070940026246
Guillermo Garcia-Lopez,-0.053730072621821445
Ivan Dodig,-0.05593649806335998
Pierre-Hugues Herbert,-0.05634820893247852
Marco Cecchinato,-0.056789993285888796
Sam Groth,-0.06364814756235884
Renzo Olivo,-0.06423584260752112
Marco Trungelliti,-0.07234464088141171
Dustin Brown,-0.07266679486909337
Gastao Elias,-0.07627397924231437
Andrew Whittington,-0.0846219000004697
Federico Gaio,-0.08556029012672973
Sasi Kumar Mukund,-0.08766060613370955
Tobias Kamke,-0.09389781120612009
Konstantin Kravchuk,-0.09503439132268467
Stephane Robert,-0.1049937594677919
Franko Skugor,-0.10815806667615013
Hiroki Moriya,-0.1354491830003484
Saketh Myneni,-0.1419194771768985
Miljan Zekic,-0.1717991454565384
Steven Diez,-0.19695714778883444
Arthur De Greef,-0.2027384576665901
Alessandro Bega,-0.2959375706924742
