Rafael Nadal,10645
Roger Federer,9605
Grigor Dimitrov,5150
Alexander Zverev,4610
Dominic Thiem,4015
Marin Cilic,3805
David Goffin,3775
Jack Sock,3165
Stan Wawrinka,3150
Pablo Carreno Busta,2615
Juan Martin del Potro,2595
Novak Djokovic,2585
Sam Querrey,2535
Kevin Anderson,2480
Jo-Wilfried Tsonga,2320
Andy Murray,2290
John Isner,2265
Lucas Pouille,2235
Tomas Berdych,2095
Roberto Bautista Agut,2015
Nick Kyrgios,2010
Kei Nishikori,1885
Albert Ramos-Vinolas,1845
Milos Raonic,1795
Gilles Muller,1695
Diego Schwartzman,1675
Fabio Fognini,1670
Adrian Mannarino,1635
Philipp Kohlschreiber,1440
Damir Dzumhur,1391
Richard Gasquet,1375
Pablo Cuevas,1370
Mischa Zverev,1302
Filip Krajinovic,1298
Fernando Verdasco,1295
Feliciano Lopez,1295
David Ferrer,1290
Alexandr Dolgopolov,1231
Andrey Rublev,1229
Yuichi Sugita,1219
Benoit Paire,1155
Robin Haase,1130
Paolo Lorenzi,1095
Steve Johnson,1055
Karen Khachanov,1030
Gael Monfils,1015
Ryan Harrison,1010
Borna Coric,1,001
Aljaz Bedene,993
Kyle Edmund,992
Denis Shapovalov,981
Leonardo Mayer,909
Jan-Lennard Struff,898
Jared Donaldson,890
Viktor Troicki,880
Julien Benneteau,855
Joao Sousa,850
Hyeon Chung,844
Nikoloz Basilashvili,826
Peter Gojowczyk,817
Donald Young,816
Jiri Vesely,815
Denis Istomin,809
Guido Pella,774
Daniil Medvedev,772
Horacio Zeballos,768
Dudi Sela,755
Federico Delbonis,755
Florian Mayer,718
Guillermo Garcia-Lopez,714
Yen-Hsun Lu,704
Evgeny Donskoy,704
Thomas Fabbiano,701
Mikhail Kukushkin,693
Dusan Lajovic,687
Matthew Ebden,670
Steve Darcis,667
Jeremy Chardy,665
Frances Tiafoe,662
Ivo Karlovic,660
Pierre-Hugues Herbert,652
Cedrik-Marcel Stebe,651
Victor Estrella Burgos,648
Mikhail Youzhny,633
Marton Fucsovics,630
Andreas Seppi,616
Radu Albot,616
Laslo Djere,612
Gilles Simon,610
Maximilian Marterer,608
Stefanos Tsitsipas,606
Lukas Lacko,605
Marius Copil,601
Jordan Thompson,593
Nicolas Kicker,590
Tennys Sandgren,583
Blaz Kavcic,581
Malek Jaziri,580
Taro Daniel,579
Gerald Melzer,572
